COG0001	223080
COG0002	223081
COG0003	223082
COG0004	223083
COG0005	223084
COG0006	223085
COG0007	223086
COG0008	223087
COG0009	223088
COG0010	223089
COG0011	223090
COG0012	223091
COG0013	223092
COG0014	223093
COG0015	223094
COG0016	223095
COG0017	223096
COG0018	223097
COG0019	223098
COG0020	223099
COG0021	223100
COG0022	223101
COG0023	223102
COG0024	223103
COG0025	223104
COG0026	223105
COG0027	223106
COG0028	223107
COG0029	223108
COG0030	223109
COG0031	223110
COG0033	223111
COG0034	223112
COG0035	223113
COG0036	223114
COG0037	223115
COG0038	223116
COG0039	223117
COG0040	223118
COG0041	223119
COG0042	223120
COG0043	223121
COG0044	223122
COG0045	223123
COG0046	223124
COG0047	223125
COG0048	223126
COG0049	223127
COG0050	223128
COG0051	223129
COG0052	223130
COG0053	223131
COG0054	223132
COG0055	223133
COG0056	223134
COG0057	223135
COG0058	223136
COG0059	223137
COG0060	223138
COG0061	223139
COG0062	223140
COG0063	223141
COG0064	223142
COG0065	223143
COG0066	223144
COG0067	223145
COG0068	223146
COG0069	223147
COG0070	223148
COG0071	223149
COG0072	223150
COG0073	223151
COG0074	223152
COG0075	223153
COG0076	223154
COG0077	223155
COG0078	223156
COG0079	223157
COG0080	223158
COG0081	223159
COG0082	223160
COG0083	223161
COG0084	223162
COG0085	223163
COG0086	223164
COG0087	223165
COG0088	223166
COG0089	223167
COG0090	223168
COG0091	223169
COG0092	223170
COG0093	223171
COG0094	223172
COG0095	223173
COG0096	223174
COG0097	223175
COG0098	223176
COG0099	223177
COG0100	223178
COG0101	223179
COG0102	223180
COG0103	223181
COG0104	223182
COG0105	223183
COG0106	223184
COG0107	223185
COG0108	223186
COG0109	223187
COG0110	223188
COG0111	223189
COG0112	223190
COG0113	223191
COG0114	223192
COG0115	223193
COG0116	223194
COG0117	223195
COG0118	223196
COG0119	223197
COG0120	223198
COG0121	223199
COG0122	223200
COG0123	223201
COG0124	223202
COG0125	223203
COG0126	223204
COG0127	223205
COG0128	223206
COG0129	223207
COG0130	223208
COG0131	223209
COG0132	223210
COG0133	223211
COG0134	223212
COG0135	223213
COG0136	223214
COG0137	223215
COG0138	223216
COG0139	223217
COG0140	223218
COG0141	223219
COG0142	223220
COG0143	223221
COG0144	223222
COG0145	223223
COG0146	223224
COG0147	223225
COG0148	223226
COG0149	223227
COG0150	223228
COG0151	223229
COG0152	223230
COG0153	223231
COG0154	223232
COG0155	223233
COG0156	223234
COG0157	223235
COG0158	223236
COG0159	223237
COG0160	223238
COG0161	223239
COG0162	223240
COG0163	223241
COG0164	223242
COG0165	223243
COG0166	223244
COG0167	223245
COG0168	223246
COG0169	223247
COG0170	223248
COG0171	223249
COG0172	223250
COG0173	223251
COG0174	223252
COG0175	223253
COG0176	223254
COG0177	223255
COG0178	223256
COG0179	223257
COG0180	223258
COG0181	223259
COG0182	223260
COG0183	223261
COG0184	223262
COG0185	223263
COG0186	223264
COG0187	223265
COG0188	223266
COG0189	223267
COG0190	223268
COG0191	223269
COG0192	223270
COG0193	223271
COG0194	223272
COG0195	223273
COG0196	223274
COG0197	223275
COG0198	223276
COG0199	223277
COG0200	223278
COG0201	223279
COG0202	223280
COG0203	223281
COG0204	223282
COG0205	223283
COG0206	223284
COG0207	223285
COG0208	223286
COG0209	223287
COG0210	223288
COG0211	223289
COG0212	223290
COG0213	223291
COG0214	223292
COG0215	223293
COG0216	223294
COG0217	223295
COG0218	223296
COG0219	223297
COG0220	223298
COG0221	223299
COG0222	223300
COG0223	223301
COG0224	223302
COG0225	223303
COG0226	223304
COG0227	223305
COG0228	223306
COG0229	223307
COG0230	223308
COG0231	223309
COG0232	223310
COG0233	223311
COG0234	223312
COG0235	223313
COG0236	223314
COG0237	223315
COG0238	223316
COG0239	223317
COG0240	223318
COG0241	223319
COG0242	223320
COG0243	223321
